# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Nhamundá,AM,-2.2079,-56.7112,21251,0
Tapauá,AM,-5.6208,-63.1808,20728,0
Careiro da Várzea,AM,-3.314,-59.5557,20324,0
Tonantins,AM,-2.8658,-67.7919,20257,0
Pauini,AM,-7.7131,-66.992,20229,0
Urucará,AM,-2.5294,-57.7538,19617,0
Barcelos,AM,-0.9834,-62.9311,18210,0
Canutama,AM,-6.5258,-64.3953,18109,0
Anori,AM,-3.746,-61.6575,18056,0
Envira,AM,-7.4379,-70.0281,17985,0
Alvarães,AM,-3.2273,-64.8007,16806,0
Novo Airão,AM,-2.6364,-60.9434,16562,0
Manaquiri,AM,-3.4408,-60.4612,16211,0
Atalaia do Norte,AM,-4.3705,-70.1967,15889,0
Maraã,AM,-1.8531,-65.573,15815,0
Uarini,AM,-2.9961,-65.1133,15640,0
Caapiranga,AM,-3.3154,-61.2206,14806,0
Guajará,AM,-7.538,-72.5907,14344,0
Santa Isabel do Rio Negro,AM,-0.4108,-65.0092,13947,0
Silves,AM,-2.8175,-58.248,12619,0
São Sebastião do Uatumã,AM,-2.5591,-57.8731,12338,0
Macapá,AP,0.0349,-51.0694,489676,1
Santana,AP,-0.0454,-51.1729,118803,0
Laranjal do Jari,AP,-0.8049,-52.453,37872,0
Oiapoque,AP,3.8407,-51.8331,30786,0
Mazagão,AP,-0.1134,-51.2891,23773,0
Porto Grande,AP,0.7124,-51.4155,19048,0
Pedra Branca do Amapari,AP,0.7774,-51.9503,13888,0
Tartarugalzinho,AP,1.5065,-50.9087,13816,0
Salvador,BA,-12.9718,-38.5011,2564204,1
Feira de Santana,BA,-12.2664,-38.9663,660806,0
Vitória da Conquista,BA,-14.8615,-40.8442,396613,0
Camaçari,BA,-12.6996,-38.3263,321636,0
Juazeiro,BA,-9.4162,-40.5033,256122,0
Lauro de Freitas,BA,-12.8978,-38.321,219564,0
Itabuna,BA,-14.7876,-39.2781,196344,0
Ilhéus,BA,-14.793,-39.046,189149,0
Porto Seguro,BA,-16.4435,-39.0643,182630,0
Barreiras,BA,-12.1439,-44.9968,171634,0
Jequié,BA,-13.8509,-40.0877,169201,0
Alagoinhas,BA,-12.1335,-38.4208,161196,0
Teixeira de Freitas,BA,-17.5399,-39.74,153738,0
Eunápolis,BA,-16.3715,-39.5821,121067,0
Simões Filho,BA,-12.7866,-38.4029,120419,0
Paulo Afonso,BA,-9.3983,-38.2216,119418,0
Luís Eduardo Magalhães,BA,-12.0956,-45.7866,118382,0
Santo Antônio de Jesus,BA,-12.9614,-39.2584,109791,0
Guanambi,BA,-14.2231,-42.7799,93488,0
Valença,BA,-13.3669,-39.073,90053,0
Jacobina,BA,-11.1812,-40.5117,86896,0
Serrinha,BA,-11.6584,-39.01,84690,0
Irecê,BA,-11.3033,-41.8535,78781,0
Senhor do Bonfim,BA,-10.4594,-40.1865,78090,0
Casa Nova,BA,-9.1641,-40.974,76131,0
Dias d'Ávila,BA,-12.6187,-38.2926,75296,0
Campo Formoso,BA,-10.5105,-40.32,75112,0
Candeias,BA,-12.6716,-38.5472,74854,0
Brumado,BA,-14.2021,-41.6696,74368,0
Conceição do Coité,BA,-11.56,-39.2808,71601,0
Bom Jesus da Lapa,BA,-13.2506,-43.4108,68866,0
Itapetinga,BA,-15.2475,-40.2482,68724,0
Itaberaba,BA,-12.5242,-40.3059,68425,0
Euclides da Cunha,BA,-10.5078,-39.0153,64768,0
Cruz das Almas,BA,-12.6675,-39.1008,63326,0
Itamaraju,BA,-17.0378,-39.5386,61999,0
Ipirá,BA,-12.1561,-39.7359,59222,0
