# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Parambu,CE,-6.2077,-40.6905,32867,0
Cruz,CE,-2.9181,-40.176,32288,0
Lavras da Mangabeira,CE,-6.7448,-38.9706,32163,0
Santana do Acaraú,CE,-3.4614,-40.2118,32133,0
Tabuleiro do Norte,CE,-5.2435,-38.1282,32122,0
Nova Russas,CE,-4.7058,-40.5621,32053,0
Novo Oriente,CE,-5.5255,-40.7713,29097,0
Jardim,CE,-7.576,-39.2826,28801,0
Redenção,CE,-4.2159,-38.7277,28382,0
Jijoca de Jericoacoara,CE,-2.7933,-40.5127,28198,0
Caririaçu,CE,-7.0281,-39.2828,27532,0
Marco,CE,-3.1285,-40.1582,27177,0
Milagres,CE,-7.2975,-38.9378,26819,0
Aracoiaba,CE,-4.3687,-38.8125,26752,0
Campos Sales,CE,-7.0676,-40.3687,26049,0
Forquilha,CE,-3.7995,-40.2634,25298,0
Tamboril,CE,-4.8314,-40.3196,25287,0
Ocara,CE,-4.4852,-38.5933,25272,0
Guaiúba,CE,-4.0406,-38.6404,25158,0
Senador Pompeu,CE,-5.5824,-39.3704,25108,0
Pindoretama,CE,-4.0158,-38.3061,24919,0
Irauçuba,CE,-3.7474,-39.7843,24867,0
Ibiapina,CE,-3.924,-40.8911,24689,0
Jucás,CE,-6.5152,-39.5187,24624,0
Independência,CE,-5.3879,-40.3085,24463,0
Aurora,CE,-6.9335,-38.9742,24244,0
Morrinhos,CE,-3.2343,-40.1233,23747,0
Barreira,CE,-4.2892,-38.6429,23474,0
Cedro,CE,-6.6003,-39.0609,22564,0
Icapuí,CE,-4.7121,-37.3531,22562,0
Assaré,CE,-6.8669,-39.8689,22195,0
Quixeré,CE,-5.0715,-37.9802,21659,0
Coreaú,CE,-3.5415,-40.6587,21417,0
Uruburetama,CE,-3.6232,-39.5107,21331,0
Itatira,CE,-4.5261,-39.6202,21160,0
Chorozinho,CE,-4.2887,-38.4986,20808,0
Quiterianópolis,CE,-5.8425,-40.7002,20545,0
Araripe,CE,-7.2132,-40.1359,20194,0
Orós,CE,-6.2518,-38.9053,19943,0
Barro,CE,-7.1719,-38.7741,19569,0
Reriutaba,CE,-4.1419,-40.5759,19051,0
Solonópole,CE,-5.7189,-39.0107,18785,0
Varjota,CE,-4.1939,-40.4741,18708,0
Farias Brito,CE,-6.9215,-39.5651,18498,0
Fortim,CE,-4.4513,-37.7981,18213,0
Itapiúna,CE,-4.5552,-38.9281,18197,0
Hidrolândia,CE,-4.4096,-40.4056,18186,0
Cariré,CE,-3.9486,-40.476,18074,0
Croatá,CE,-4.4048,-40.9022,18050,0
Porteiras,CE,-7.5226,-39.114,17877,0
Carnaubal,CE,-4.1598,-40.9413,17815,0
Capistrano,CE,-4.4557,-38.9048,17795,0
Umirim,CE,-3.6765,-39.3465,17751,0
Monsenhor Tabosa,CE,-4.791,-40.0646,17705,0
Banabuiú,CE,-5.3045,-38.9132,17667,0
Tejuçuoca,CE,-3.9883,-39.5799,17646,0
Jaguaretama,CE,-5.6051,-38.7639,17604,0
Santana do Cariri,CE,-7.1761,-39.7302,17391,0
Salitre,CE,-7.284,-40.45,17303,0
Piquet Carneiro,CE,-5.8003,-39.417,17285,0
Cariús,CE,-6.5243,-39.4916,17277,0
Madalena,CE,-4.846,-39.5725,17235,0
Quixelô,CE,-6.2464,-39.2011,16998,0
Frecheirinha,CE,-3.7556,-40.818,16516,0
Caridade,CE,-4.2251,-39.1912,16234,0
Nova Olinda,CE,-7.0842,-39.6713,16045,0
Pereiro,CE,-6.0358,-38.4624,15858,0
Meruoca,CE,-3.5397,-40.4531,15853,0
Tururu,CE,-3.5841,-39.4297,15524,0
Barroquinha,CE,-3.0205,-41.1358,14998,0
Miraíma,CE,-3.5687,-39.9663,14826,0
Milhã,CE,-5.6725,-39.1875,14713,0
Iracema,CE,-5.8124,-38.2919,14440,0
Alto Santo,CE,-5.5089,-38.2743,14372,0
Acarape,CE,-4.2208,-38.7055,14340,0
Uruoca,CE,-3.3082,-40.5628,14308,0
Graça,CE,-4.0442,-40.749,14176,0
Aiuaba,CE,-6.5712,-40.1178,14115,0
Mucambo,CE,-3.9027,-40.7452,13999,0
Saboeiro,CE,-6.5346,-39.9017,13943,0
Apuiarés,CE,-3.9451,-39.4359,13193,0
Chaval,CE,-3.0357,-41.2435,12811,0
Ipaumirim,CE,-6.7827,-38.7179,12459,0
Poranga,CE,-4.7467,-40.9205,12441,0
Choró,CE,-4.8391,-39.1344,12352,0
Ibaretama,CE,-4.8038,-38.7501,12149,0
Ibicuitinga,CE,-4.97,-38.6362,12008,0
Brasília,DF,-15.7795,-47.9297,2996899,1
Serra,ES,-20.121,-40.3074,579720,0
Vila Velha,ES,-20.3417,-40.2875,506779,0
Cariacica,ES,-20.2632,-40.4165,376200,0
Vitória,ES,-20.3155,-40.3128,343378,1
Cachoeiro de Itapemirim,ES,-20.8462,-41.1198,198342,0
Linhares,ES,-19.3946,-40.0643,183797,0
Guarapari,ES,-20.6772,-40.5093,136311,0
São Mateus,ES,-18.7214,-39.8579,134423,0
Colatina,ES,-19.5493,-40.6269,129301,0
Aracruz,ES,-19.82,-40.2764,103363,0
Viana,ES,-20.3825,-40.4933,79043,0
Nova Venécia,ES,-18.715,-40.4053,52324,0
Marataízes,ES,-21.0398,-40.8384,45953,0
Santa Maria de Jetibá,ES,-20.0253,-40.7439,45575,0
Barra de São Francisco,ES,-18.7548,-40.8965,45415,0
Itapemirim,ES,-21.0095,-40.8307,44020,0
Castelo,ES,-20.6033,-41.2031,39575,0
Domingos Martins,ES,-20.3603,-40.6594,38236,0
São Gabriel da Palha,ES,-19.0182,-40.5365,34272,0
Anchieta,ES,-20.7955,-40.6425,33017,0
Baixo Guandu,ES,-19.5213,-41.0109,32829,0
Afonso Cláudio,ES,-20.0778,-41.1261,32456,0
Jaguaré,ES,-18.907,-40.0759,31551,0
Guaçuí,ES,-20.7668,-41.6734,31418,0
Alegre,ES,-20.758,-41.5382,30702,0
Iúna,ES,-20.3531,-41.5334,30556,0
Conceição da Barra,ES,-18.5883,-39.7362,28923,0
Sooretama,ES,-19.1897,-40.0974,28668,0
Ibatiba,ES,-20.2347,-41.5087,27543,0
Venda Nova do Imigrante,ES,-20.327,-41.1355,25395,0
Mimoso do Sul,ES,-21.0628,-41.3615,25088,0
Pinheiros,ES,-18.4141,-40.2171,24843,0
Piúma,ES,-20.8334,-40.7268,23912,0
Santa Teresa,ES,-19.9363,-40.5979,23872,0
Ecoporanga,ES,-18.3702,-40.836,22611,0
Pedro Canário,ES,-18.3004,-39.9574,21923,0
Vargem Alta,ES,-20.669,-41.0179,20390,0
Rio Bananal,ES,-19.2719,-40.3366,20350,0
Montanha,ES,-18.1303,-40.3668,19830,0
Pancas,ES,-19.2229,-40.8534,19120,0
Marechal Floriano,ES,-20.4159,-40.67,18964,0
Fundão,ES,-19.937,-40.4078,18898,0
Muniz Freire,ES,-20.4652,-41.4156,18809,0
Presidente Kennedy,ES,-21.0964,-41.0468,14852,0
Irupi,ES,-20.3501,-41.6444,14647,0
Alfredo Chaves,ES,-20.6396,-40.7543,14376,0
João Neiva,ES,-19.7577,-40.386,14295,0
Vila Valério,ES,-18.9958,-40.3849,14267,0
Muqui,ES,-20.9509,-41.346,14185,0
Boa Esperança,ES,-18.5395,-40.3025,14054,0
Itaguaçu,ES,-19.8018,-40.8601,14042,0
Santa Leopoldina,ES,-20.0999,-40.527,13813,0
Brejetuba,ES,-20.1395,-41.2954,13718,0
Mantenópolis,ES,-18.8594,-41.124,13131,0
Marilândia,ES,-19.4114,-40.5456,13087,0
Iconha,ES,-20.7913,-40.8132,12790,0
Água Doce do Norte,ES,-18.5482,-40.9854,12585,0
Conceição do Castelo,ES,-20.3639,-41.2417,12472,0
Ibiraçu,ES,-19.8366,-40.3732,12304,0
Jerônimo Monteiro,ES,-20.7994,-41.3948,12108,0
Goiânia,GO,-16.6864,-49.2643,1503256,1
Aparecida de Goiânia,GO,-16.8198,-49.2469,556021,0
Anápolis,GO,-16.3281,-48.953,420300,0
Águas Lindas de Goiás,GO,-15.7617,-48.2816,245352,0
Rio Verde,GO,-17.7923,-50.9192,241494,0
Luziânia,GO,-16.253,-47.95,221262,0
Valparaíso de Goiás,GO,-16.0651,-47.9757,218416,0
Senador Canedo,GO,-16.7084,-49.0914,175042,0
Trindade,GO,-16.6517,-49.4927,153560,0
Catalão,GO,-18.1656,-47.944,122760,0
Formosa,GO,-15.54,-47.337,121559,0
Itumbiara,GO,-18.4093,-49.2158,113322,0
Planaltina,GO,-15.452,-47.6089,112304,0
Jataí,GO,-17.8784,-51.7204,111634,0
Novo Gama,GO,-16.0592,-48.0417,107663,0
Caldas Novas,GO,-17.7441,-48.6246,106820,0
Cidade Ocidental,GO,-16.0765,-47.9252,101570,0
Goianira,GO,-16.4947,-49.427,81495,0
Goianésia,GO,-15.3118,-49.1162,78009,0
Santo Antônio do Descoberto,GO,-15.9412,-48.2578,75221,0
Mineiros,GO,-17.5654,-52.5537,74999,0
Cristalina,GO,-16.7676,-47.6131,66827,0
Morrinhos,GO,-17.7334,-49.1059,54326,0
Inhumas,GO,-16.3611,-49.5001,53884,0
Quirinópolis,GO,-18.4472,-50.4547,50329,0
Itaberaí,GO,-16.0206,-49.806,47603,0
Jaraguá,GO,-15.7529,-49.3344,46633,0
Porangatu,GO,-13.4391,-49.1503,45512,0
Uruaçu,GO,-14.5238,-49.1396,44533,0
Santa Helena de Goiás,GO,-17.8115,-50.5977,39601,0
Bela Vista de Goiás,GO,-16.9693,-48.9513,37305,0
Iporá,GO,-16.4398,-51.118,37283,0
Padre Bernardo,GO,-15.1605,-48.2833,37207,0
Goiatuba,GO,-18.0105,-49.3658,36984,0
Posse,GO,-14.0859,-46.3704,36291,0
São Luís de Montes Belos,GO,-16.5211,-50.3726,35288,0
Palmeiras de Goiás,GO,-16.8044,-49.924,34375,0
Nerópolis,GO,-16.4047,-49.2227,34273,0
Niquelândia,GO,-14.4662,-48.4599,33890,0
Pires do Rio,GO,-17.3019,-48.2768,33736,0
Hidrolândia,GO,-16.9626,-49.2265,30587,0
Alexânia,GO,-16.0834,-48.5076,28244,0
Pirenópolis,GO,-15.8507,-48.9584,28028,0
Cocalzinho de Goiás,GO,-15.7914,-48.7747,27196,0
Minaçu,GO,-13.5304,-48.2206,26616,0
Itapuranga,GO,-15.5606,-49.949,26553,0
Ipameri,GO,-17.7215,-48.1581,26223,0
Piracanjuba,GO,-17.302,-49.017,25373,0
Bom Jesus de Goiás,GO,-18.2173,-49.74,24925,0
Goiás,GO,-15.9333,-50.14,24172,0
Silvânia,GO,-16.66,-48.6083,23150,0
Ceres,GO,-15.3061,-49.6,22570,0
Acreúna,GO,-17.396,-50.3749,22079,0
Abadia de Goiás,GO,-16.7573,-49.4412,22052,0
São Miguel do Araguaia,GO,-13.2731,-50.1634,22040,0
Itapaci,GO,-14.9522,-49.5511,21891,0
Guapó,GO,-16.8297,-49.5345,20985,0
Rubiataba,GO,-15.1617,-49.8048,20186,0
Jussara,GO,-15.8659,-50.8668,19926,0
Pontalina,GO,-17.5225,-49.4489,18763,0
Aragarças,GO,-15.8955,-52.2372,18601,0
Anicuns,GO,-16.4642,-49.9617,18306,0
Campos Belos,GO,-13.035,-46.7681,18227,0
Indiara,GO,-17.1387,-49.9862,17985,0
Abadiânia,GO,-16.197,-48.7057,17738,0
Crixás,GO,-14.5412,-49.974,17532,0
São Simão,GO,-18.996,-50.547,17181,0
Orizona,GO,-17.0334,-48.2964,17035,0
Caiapônia,GO,-16.9539,-51.8091,16628,0
Vianópolis,GO,-16.7405,-48.5159,15644,0
Mozarlândia,GO,-14.7457,-50.5713,15199,0
São João d'Aliança,GO,-14.7048,-47.5228,15026,0
Goianápolis,GO,-16.5098,-49.0234,14758,0
Chapadão do Céu,GO,-18.4073,-52.549,14321,0
Flores de Goiás,GO,-14.4451,-47.0417,14273,0
Caçu,GO,-18.5594,-51.1328,14034,0
Uruana,GO,-15.4993,-49.6861,13857,0
Nova Crixás,GO,-14.0957,-50.33,13153,0
Montividiu,GO,-17.4439,-51.1728,13094,0
Campinorte,GO,-14.3137,-49.1511,12983,0
Aragoiânia,GO,-16.9087,-49.4476,12806,0
Rialma,GO,-15.3145,-49.5814,12665,0
São Luís,MA,-2.5387,-44.2825,1089215,1
Imperatriz,MA,-5.5185,-47.4777,285806,0
São José de Ribamar,MA,-2.547,-44.0597,259164,0
Timon,MA,-5.0977,-42.8329,182711,0
Caxias,MA,-4.8651,-43.3617,163546,0
Paço do Lumiar,MA,-2.5166,-44.1019,153158,0
Codó,MA,-4.4556,-43.8924,118283,0
Açailândia,MA,-4.9471,-47.5004,110611,0
Bacabal,MA,-4.2245,-44.7832,107755,0
Balsas,MA,-7.5321,-46.0372,105974,0
Santa Inês,MA,-3.6511,-45.3774,88249,0
Pinheiro,MA,-2.5222,-45.0788,88091,0
Barra do Corda,MA,-5.4968,-45.2485,87757,0
Chapadinha,MA,-3.7388,-43.3538,84395,0
Grajaú,MA,-5.8137,-46.1462,76837,0
Barreirinhas,MA,-2.7586,-42.8232,68234,0
Itapecuru Mirim,MA,-3.402,-44.3508,62264,0
Coroatá,MA,-4.1344,-44.1244,61337,0
Santa Luzia,MA,-4.0687,-45.69,58839,0
Buriticupu,MA,-4.3238,-46.4409,56733,0
Tutóia,MA,-2.7614,-42.2755,55076,0
Viana,MA,-3.2045,-44.9912,53176,0
São Bento,MA,-2.6978,-44.8289,48166,0
Presidente Dutra,MA,-5.2898,-44.495,46606,0
Lago da Pedra,MA,-4.5697,-45.1319,45865,0
Vargem Grande,MA,-3.5364,-43.917,44444,0
Santa Helena,MA,-2.2443,-45.29,43200,0
Coelho Neto,MA,-4.2524,-43.0108,42841,0
Zé Doca,MA,-3.2701,-45.6553,41815,0
Colinas,MA,-6.032,-44.2543,41788,0
Araioses,MA,-2.8909,-41.905,40231,0
São Mateus do Maranhão,MA,-4.0374,-44.4707,40177,0
Rosário,MA,-2.9344,-44.2531,39761,0
Turiaçu,MA,-1.6589,-45.3798,38993,0
Santa Rita,MA,-3.1424,-44.3211,38542,0
Amarante do Maranhão,MA,-5.5691,-46.7473,38335,0
Pedreiras,MA,-4.5648,-44.6006,38252,0
Tuntum,MA,-5.2548,-44.6444,37364,0
Brejo,MA,-3.678,-42.7527,35354,0
São Domingos do Maranhão,MA,-5.5809,-44.3822,35247,0
Estreito,MA,-6.5608,-47.4431,34321,0
Urbano Santos,MA,-3.2064,-43.3878,34143,0
Bom Jardim,MA,-3.5413,-45.606,33936,0
Penalva,MA,-3.2767,-45.1768,33496,0
Matões,MA,-5.5136,-43.2018,33327,0
Turilândia,MA,-2.2164,-45.3044,33219,0
Cururupu,MA,-1.8148,-44.8644,32602,0
Pindaré-Mirim,MA,-3.6098,-45.342,32542,0
Parnarama,MA,-5.6737,-43.1011,32232,0
Raposa,MA,-2.4254,-44.0973,32156,0
Vitorino Freire,MA,-4.2818,-45.2505,31920,0
Vitória do Mearim,MA,-3.4512,-44.8643,31859,0
Buriti,MA,-3.9417,-42.9179,30866,0
Arari,MA,-3.4521,-44.7665,30555,0
Bom Jesus das Selvas,MA,-4.4764,-46.8641,29606,0
Monção,MA,-3.4813,-45.2496,28563,0
São Bernardo,MA,-3.3722,-42.4191,27910,0
Timbiras,MA,-4.256,-43.932,27328,0
Humberto de Campos,MA,-2.5983,-43.4649,26550,0
Alto Alegre do Pindaré,MA,-3.6669,-45.8421,26321,0
Anajatuba,MA,-3.2627,-44.6126,26250,0
Arame,MA,-4.8835,-46.0032,26089,0
São João dos Patos,MA,-6.4934,-43.7036,25910,0
Icatu,MA,-2.7721,-44.0501,25332,0
João Lisboa,MA,-5.4436,-47.4064,25311,0
Cantanhede,MA,-3.6376,-44.383,25059,0
Pedro do Rosário,MA,-2.9727,-45.3493,24955,0
Carutapera,MA,-1.197,-46.0085,24906,0
Santa Luzia do Paruá,MA,-2.5112,-45.7801,24890,0
Carolina,MA,-7.3358,-47.4634,24619,0
Porto Franco,MA,-6.3415,-47.3962,24571,0
Alto Alegre do Maranhão,MA,-4.213,-44.446,24528,0
Santa Quitéria do Maranhão,MA,-3.4931,-42.5688,24495,0
Miranda do Norte,MA,-3.5631,-44.5814,24373,0
Aldeias Altas,MA,-4.6262,-43.4689,23776,0
Dom Pedro,MA,-5.0352,-44.4409,23594,0
Governador Nunes Freire,MA,-2.129,-45.8777,23526,0
Trizidela do Vale,MA,-4.538,-44.628,23097,0
Buriti Bravo,MA,-5.8324,-43.8353,22938,0
Itinga do Maranhão,MA,-4.4529,-47.5235,22896,0
Riachão,MA,-7.3582,-46.6225,22740,0
Matinha,MA,-3.0985,-45.035,22540,0
Pio XII,MA,-3.8931,-45.1759,22374,0
Maracaçumé,MA,-2.0492,-45.9587,21730,0
Palmeirândia,MA,-2.6443,-44.8933,21657,0
Mirador,MA,-6.3745,-44.3683,21536,0
Peritoró,MA,-4.3746,-44.3369,20903,0
Paulo Ramos,MA,-4.4448,-45.2398,20798,0
Cândido Mendes,MA,-1.4326,-45.7161,20440,0
Bequimão,MA,-2.4416,-44.7842,19968,0
São Vicente Ferrer,MA,-2.8949,-44.8681,19865,0
Barão de Grajaú,MA,-6.7446,-43.0261,19493,0
Pastos Bons,MA,-6.603,-44.0745,19266,0
São Raimundo das Mangabeiras,MA,-7.0218,-45.4809,19158,0
Morros,MA,-2.8538,-44.0357,19015,0
Governador Edison Lobão,MA,-5.7497,-47.3646,18963,0
São João Batista,MA,-2.954,-44.7953,18889,0
São Benedito do Rio Preto,MA,-3.3352,-43.5287,18810,0
Esperantinópolis,MA,-4.8794,-44.6926,18734,0
Alcântara,MA,-2.3957,-44.4062,18721,0
Paraibano,MA,-6.4264,-43.9792,18589,0
Olho d'Água das Cunhãs,MA,-4.1342,-45.1163,18288,0
Formosa da Serra Negra,MA,-6.4402,-46.1916,18150,0
Pirapemas,MA,-3.7204,-44.2216,18132,0
São Luís Gonzaga do Maranhão,MA,-4.3854,-44.6654,18123,0
Apicum-Açu,MA,-1.4586,-45.0864,18033,0
Matões do Norte,MA,-3.6244,-44.5468,18021,0
Presidente Sarney,MA,-2.588,-45.3595,17925,0
Passagem Franca,MA,-6.1775,-43.7755,17591,0
Mata Roma,MA,-3.6204,-43.1112,17581,0
Gonçalves Dias,MA,-5.1475,-44.3013,17580,0
Paulino Neves,MA,-2.7209,-42.5258,17578,0
Jenipapo dos Vieiras,MA,-5.3624,-45.6356,17529,0
Sítio Novo,MA,-5.876,-46.7033,17464,0
Bacabeira,MA,-2.9645,-44.3164,17459,0
Poção de Pedras,MA,-4.7463,-44.9432,17394,0
Fortuna,MA,-5.7279,-44.1565,17347,0
São João do Soter,MA,-5.1082,-43.8163,17253,0
Cajari,MA,-3.3274,-45.0145,16680,0
Bacuri,MA,-1.6965,-45.1328,16591,0
Centro Novo do Maranhão,MA,-2.127,-46.1228,16477,0
Conceição do Lago-Açu,MA,-3.8514,-44.8895,15278,0
Joselândia,MA,-4.9861,-44.6958,15227,0
Lago Verde,MA,-3.9466,-44.826,15069,0
Senador La Rocque,MA,-5.4461,-47.2959,15044,0
Davinópolis,MA,-5.5464,-47.4217,14828,0
São Pedro da Água Branca,MA,-5.0847,-48.4291,14786,0
Santo Antônio dos Lopes,MA,-4.8661,-44.3653,14628,0
Nina Rodrigues,MA,-3.4679,-43.9134,14589,0
Igarapé do Meio,MA,-3.6577,-45.2114,14383,0
Nova Olinda do Maranhão,MA,-2.8423,-45.6953,14379,0
Mirinzal,MA,-2.0709,-44.7787,14298,0
Santo Amaro do Maranhão,MA,-2.5007,-43.238,14287,0
Governador Eugênio Barros,MA,-5.319,-44.2469,14264,0
Itaipava do Grajaú,MA,-5.1425,-45.7877,14142,0
Anapurus,MA,-3.6758,-43.1014,14113,0
Maranhãozinho,MA,-2.2408,-45.8507,14092,0
Magalhães de Almeida,MA,-3.3923,-42.2117,13933,0
Olinda Nova do Maranhão,MA,-2.9929,-44.9897,13921,0
Primeira Cruz,MA,-2.5057,-43.4232,13920,0
Cidelândia,MA,-5.1746,-47.7781,13141,0
Buritirana,MA,-5.5982,-47.0131,13125,0
Fortaleza dos Nogueiras,MA,-6.9598,-46.1749,12963,0
Centro do Guilherme,MA,-2.4489,-46.0345,12693,0
Campestre do Maranhão,MA,-6.1707,-47.3625,12536,0
Água Doce do Maranhão,MA,-2.8405,-42.1189,12461,0
Bom Lugar,MA,-4.3731,-45.0326,12371,0
São Francisco do Maranhão,MA,-6.2516,-42.8668,12360,0
São João do Carú,MA,-3.5503,-46.2507,12360,0
Bela Vista do Maranhão,MA,-3.7262,-45.3075,12104,0
Axixá,MA,-2.8394,-44.062,12091,0
Belo Horizonte,MG,-19.9102,-43.9266,2415872,1
Uberlândia,MG,-18.9141,-48.2749,761835,0
Contagem,MG,-19.9321,-44.0539,651718,0
Juiz de Fora,MG,-21.7595,-43.3398,567730,0
Montes Claros,MG,-16.7282,-43.8578,437601,0
Betim,MG,-19.9668,-44.2008,431433,0
Uberaba,MG,-19.7472,-47.9381,356781,0
Ribeirão das Neves,MG,-19.7621,-44.0844,346971,0
Governador Valadares,MG,-18.8545,-41.9555,266561,0
Divinópolis,MG,-20.1446,-44.8912,243583,0
Sete Lagoas,MG,-19.4569,-44.2413,238909,0
Ipatinga,MG,-19.4703,-42.5476,235311,0
Santa Luzia,MG,-19.7548,-43.8497,230382,0
Ibirité,MG,-20.0252,-44.0569,179582,0
Poços de Caldas,MG,-21.78,-46.5692,172339,0
Patos de Minas,MG,-18.5699,-46.5013,169173,0
Pouso Alegre,MG,-22.2266,-45.9389,162133,0
Varginha,MG,-21.5556,-45.4364,143676,0
Teófilo Otoni,MG,-17.8595,-41.5087,142851,0
Conselheiro Lafaiete,MG,-20.6634,-43.7846,138946,0
Vespasiano,MG,-19.6883,-43.9239,138583,0
Sabará,MG,-19.884,-43.8263,134576,0
Barbacena,MG,-21.2214,-43.7703,129695,0
Araguari,MG,-18.6456,-48.1934,123432,0
Nova Lima,MG,-19.9758,-43.8509,120959,0
Araxá,MG,-19.5902,-46.9438,118786,0
Itabira,MG,-19.6239,-43.2312,118053,0
Passos,MG,-20.7193,-46.609,116951,0
Nova Serrana,MG,-19.8713,-44.9847,114791,0
Lavras,MG,-21.248,-45.0009,110682,0
Coronel Fabriciano,MG,-19.5179,-42.6276,108708,0
Muriaé,MG,-21.13,-42.3693,108447,0
Ubá,MG,-21.1204,-42.9359,107423,0
Ituiutaba,MG,-18.9772,-49.4639,106775,0
Itaúna,MG,-20.0818,-44.5801,103272,0
Pará de Minas,MG,-19.8534,-44.6114,102844,0
Paracatu,MG,-17.2252,-46.8711,99005,0
Manhuaçu,MG,-20.2572,-42.028,97328,0
Itajubá,MG,-22.4225,-45.4598,96855,0
São João del Rei,MG,-21.1311,-44.2526,94468,0
Patrocínio,MG,-18.9379,-46.9934,94357,0
Esmeraldas,MG,-19.764,-44.3065,93103,0
Unaí,MG,-16.3592,-46.9022,91320,0
Caratinga,MG,-19.7868,-42.1292,90890,0
Curvelo,MG,-18.7527,-44.4303,84297,0
Timóteo,MG,-19.5811,-42.6471,84172,0
João Monlevade,MG,-19.8126,-43.1735,83791,0
Alfenas,MG,-21.4256,-45.9477,82303,0
Lagoa Santa,MG,-19.6397,-43.8932,81299,0
Viçosa,MG,-20.7559,-42.8742,79517,0
Três Corações,MG,-21.6921,-45.2511,78291,0
Ouro Preto,MG,-20.3796,-43.512,77914,0
São Sebastião do Paraíso,MG,-20.9167,-46.9837,75179,0
Janaúba,MG,-15.8022,-43.3132,73555,0
Formiga,MG,-20.4618,-45.4268,70897,0
Cataguases,MG,-21.3924,-42.6896,67732,0
Januária,MG,-15.4802,-44.3639,67123,0
Pedro Leopoldo,MG,-19.6308,-44.0383,65174,0
Mariana,MG,-20.3765,-43.414,64506,0
Frutal,MG,-20.0259,-48.9355,61275,0
Ponte Nova,MG,-20.4111,-42.8978,59638,0
Extrema,MG,-22.854,-46.3178,59336,0
Pirapora,MG,-17.3392,-44.934,57713,0
Três Pontas,MG,-21.3694,-45.5109,57209,0
Itabirito,MG,-20.2501,-43.8038,56369,0
Congonhas,MG,-20.4958,-43.851,55272,0
Bom Despacho,MG,-19.7386,-45.2622,54377,0
São Francisco,MG,-15.9514,-44.8593,54223,0
Campo Belo,MG,-20.8932,-45.2699,54027,0
Lagoa da Prata,MG,-20.0237,-45.5401,53927,0
Guaxupé,MG,-21.305,-46.7081,52744,0
Leopoldina,MG,-21.5296,-42.6421,52739,0
Bocaiúva,MG,-17.1135,-43.8104,49797,0
Monte Carmelo,MG,-18.7302,-47.4912,49500,0
Diamantina,MG,-18.2413,-43.6031,49493,0
Igarapé,MG,-20.0707,-44.2994,49120,0
Santana do Paraíso,MG,-19.3661,-42.5446,49025,0
João Pinheiro,MG,-17.7398,-46.1715,48725,0
São Lourenço,MG,-22.1166,-45.0506,46868,0
São Gotardo,MG,-19.3087,-46.0465,43851,0
Arcos,MG,-20.2863,-45.5373,43653,0
Santos Dumont,MG,-21.4634,-43.5499,43218,0
Santa Rita do Sapucaí,MG,-22.2461,-45.7034,42517,0
Andradas,MG,-22.0695,-46.5724,42501,0
Almenara,MG,-16.1785,-40.6942,42019,0
Capelinha,MG,-17.6888,-42.5147,41858,0
Salinas,MG,-16.1753,-42.2964,41736,0
Boa Esperança,MG,-21.0927,-45.5612,41443,0
Brumadinho,MG,-20.151,-44.2007,41090,0
Mateus Leme,MG,-19.9794,-44.4318,40814,0
Visconde do Rio Branco,MG,-21.0127,-42.8361,40711,0
Ouro Branco,MG,-20.5263,-43.6962,40638,0
Oliveira,MG,-20.6982,-44.829,40576,0
Iturama,MG,-19.7276,-50.1966,40259,0
Sarzedo,MG,-20.0367,-44.1446,39974,0
Caeté,MG,-19.8826,-43.6704,39775,0
Jaíba,MG,-15.3432,-43.6688,39639,0
Matozinhos,MG,-19.5543,-44.0868,39529,0
Machado,MG,-21.6778,-45.9219,38809,0
Porteirinha,MG,-15.7404,-43.0281,38692,0
Piumhi,MG,-20.4762,-45.9589,38007,0
São Joaquim de Bicas,MG,-20.048,-44.2749,37017,0
Nanuque,MG,-17.8481,-40.3533,35263,0
Araçuaí,MG,-16.8523,-42.0637,35185,0
Várzea da Palma,MG,-17.5944,-44.7226,34555,0
Taiobeiras,MG,-15.8106,-42.2259,34537,0
Itamarandiba,MG,-17.8552,-42.8561,34210,0
Guanhães,MG,-18.7713,-42.9312,33517,0
Ouro Fino,MG,-22.2779,-46.3716,33285,0
Brasília de Minas,MG,-16.2104,-44.4299,33262,0
Juatuba,MG,-19.9448,-44.3451,33249,0
Pompéu,MG,-19.2257,-45.0141,32441,0
Barão de Cocais,MG,-19.9389,-43.4755,32264,0
Carangola,MG,-20.7343,-42.0313,32134,0
Cláudio,MG,-20.4437,-44.7673,31936,0
Santa Bárbara,MG,-19.9604,-43.4101,31916,0
Espinosa,MG,-14.9249,-42.809,31375,0
Além Paraíba,MG,-21.8797,-42.7176,31159,0
Cambuí,MG,-22.6115,-46.0572,31066,0
Conceição das Alagoas,MG,-19.9172,-48.3839,30278,0
Coromandel,MG,-18.4734,-47.1933,30114,0
Três Marias,MG,-18.2048,-45.2473,29985,0
Carmo do Paranaíba,MG,-18.991,-46.3167,29885,0
Prata,MG,-19.3086,-48.9276,29745,0
Rio Pardo de Minas,MG,-15.616,-42.5405,29103,0
Mutum,MG,-19.8121,-41.4407,28749,0
Santo Antônio do Monte,MG,-20.085,-45.2947,28456,0
São José da Lapa,MG,-19.6971,-43.9586,28087,0
Sacramento,MG,-19.8622,-47.4508,28076,0
